"Id","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","Orcamento__c","Capital__c","DescontoAgravo__c","GarantiaProduto__c","Garantia__c","LimiteCapital__c","NumeroSerie__c","NumeroSorte__c","Percentual__c","PremioComercialDesconto__c","PremioComercial__c","PremioPuroDesconto__c","PremioPuroInterno__c","PremioPuroResseguro__c","PremioPuro__c","PremioTotal__c","TaxaAnual__c","TaxaComercial__c","TaxaMensal__c","TaxaPura__c","TaxaPuroInterno__c","TaxaPuroResseguro__c","TaxaTotal__c","TipoCapital__c","DescontoAgravoMonetarioComercial__c","DescontoAgravoMonetarioInformado__c","DescontoAgravoMonetarioTecnico__c","DescontoAgravoPercentualComercial__c","DescontoAgravoPercentualInformado__c","DescontoAgravoPercentualTecnico__c","TipoDescontoAgravo__c","TipoCapitalProduto__c","DemonstracaoPremio__c","TipoGarantia__c","MoedaGarantia__c","ValorCotacao__c","FranquiaGarantia__c","Limite_de_Uso__c","Tipo_de_limite_de_utilizacao__c","IOF__c"
"a0h0t000001jV8JAAU","false","00408377","BRL","2019-07-24T17:01:06.000+0000","005f4000000jPAEAA2","2019-07-24T17:01:06.000+0000","005f4000000jPAEAA2","2019-07-24T17:01:06.000+0000","","","0060t00000HNMTaAAP","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","37.6","","","","3.44","37.77","","0.001726536","","0.000344","","","0.0017278181860623599","","","0.03","","","0.0742634999999936","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001jUwnAAE","false","00407789","BRL","2019-07-24T16:55:13.000+0000","005f4000000jPAEAA2","2019-07-24T16:55:13.000+0000","005f4000000jPAEAA2","2019-07-24T16:55:13.000+0000","","","0060t00000HNMNKAA5","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","14.1","","","","1.29","11.79","","0.000647451","","0.000129","","","0.000539542499784183","","","-2.36","","","-16.6666667","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y1loAAC","false","00032509","BRL","2019-07-03T20:18:09.000+0000","005f4000000jPAEAA2","2019-07-03T20:18:09.000+0000","005f4000000jPAEAA2","2019-07-03T20:18:09.000+0000","","","0060t00000FhI2uAAF","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","9.4","","","","0.86","4.56","","0.000431634","","0.000086","","","0.00020870215362322204","","","-4.88","","","-51.64835169999999","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y1kpAAC","false","00032453","BRL","2019-07-03T20:18:01.000+0000","005f4000000jPAEAA2","2019-07-03T20:18:01.000+0000","005f4000000jPAEAA2","2019-07-03T20:18:01.000+0000","","","0060t00000FhI2fAAF","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","23.5","","","","2.15","22.33","","0.001079085","","0.000215","","","0.00102123195762441","","","-1.26","","","-5.361305400000004","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y1flAAC","false","00032149","BRL","2019-07-03T20:17:32.000+0000","005f4000000jPAEAA2","2019-07-03T20:17:32.000+0000","005f4000000jPAEAA2","2019-07-03T20:17:32.000+0000","","","0060t00000FhHzWAAV","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","9.4","","","","0.86","5.95","","0.000431634","","0.000086","","","0.000272218418818164","","","-3.49","","","-36.9330454","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y16QAAS","false","00029958","BRL","2019-07-03T20:14:05.000+0000","005f4000000jPAEAA2","2019-07-03T20:14:05.000+0000","005f4000000jPAEAA2","2019-07-03T20:14:05.000+0000","","","0060t00000FhHg5AAF","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","23.5","","","","2.15","10.26","","0.001079085","","0.000215","","","0.00046946978685957","","","-13.33","","","-56.4937158","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y0j0AAC","false","00028511","BRL","2019-07-03T20:11:24.000+0000","005f4000000jPAEAA2","2019-07-03T20:11:24.000+0000","005f4000000jPAEAA2","2019-07-03T20:11:24.000+0000","","","0060t00000FhHU9AAN","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","18.8","","","","1.72","9.12","","0.000863268","","0.000172","","","0.000417240554802792","","","-9.75","","","-51.6673206","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y03XAAS","false","00025940","BRL","2019-07-03T20:08:02.000+0000","005f4000000jPAEAA2","2019-07-03T20:08:02.000+0000","005f4000000jPAEAA2","2019-07-03T20:08:02.000+0000","","","0060t00000FhH3FAAV","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","23.5","","","","2.15","10.14","","0.001079085","","0.000215","","","0.000464010038681805","","","-13.45","","","-56.9996767","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y01YAAS","false","00025817","BRL","2019-07-03T20:07:54.000+0000","005f4000000jPAEAA2","2019-07-03T20:07:54.000+0000","005f4000000jPAEAA2","2019-07-03T20:07:54.000+0000","","","0060t00000FhH3EAAV","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","23.5","","","","2.15","15.14","","0.001079085","","0.000215","","","0.000692394843849345","","","-8.45","","","-35.835004299999994","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
"a0h0t000001Y0EfAAK","false","00026630","BRL","2019-07-03T20:08:53.000+0000","005f4000000jPAEAA2","2019-07-03T20:08:53.000+0000","005f4000000jPAEAA2","2019-07-03T20:08:53.000+0000","","","0060t00000FhGxhAAF","10000","","a0jf4000005iLgsAAE","a0nf400000BpSulAAF","","","","","","32.9","","","","3.01","18.91","","0.001510719","","0.000301","","","0.0008651070882343891","","","-14.12","","","-42.735406899999994","","","Capital uniforme","Na própria garantia","Cobertura","BRL","","","","",""
