"Id","IsDeleted","AccountId","RecordTypeId","IsPrivate","Name","Description","StageName","Amount","Probability","ExpectedRevenue","TotalOpportunityQuantity","CloseDate","Type","NextStep","LeadSource","IsClosed","IsWon","ForecastCategory","ForecastCategoryName","CurrencyIsoCode","CampaignId","HasOpportunityLineItem","Pricebook2Id","OwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","FiscalQuarter","FiscalYear","Fiscal","ContactId","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","SyncedQuoteId","ContractId","HasOpenActivity","HasOverdueTask","LastAmountChangedHistoryId","LastCloseDateChangedHistoryId","CanalDistribuicao__c","CapitalSegurado__c","CodigoCorretor__c","Congenere__c","CorretorPrincipal__c","CusteioSegurado__c","CusteioSubEstipulante__c","CustoApolice__c","DataCalculo__c","DataCriacaoPortal__c","Dependentes__c","DescontoAgravoComercial__c","DescontoPremioComercial__c","DescontoPremioPuro__c","Destino__c","Encargos__c","EventoLocalFechadoDelimitado__c","FaixaIdade__c","FaixaRenda__c","FormaCusteio__c","FormaPagamento__c","FormaTrabalho__c","HaControlePublico__c","IncluiPaisEuropeu__c","InformacoesEvento__c","Iof__c","Juros__c","JustificativasPareceres__c","LivreEscolha__c","MeioComercializacao__c","MultiploSalarial__c","NumeroPortal__c","Numero__c","ObservacoesGerais__c","OrcamentoAfastamento__c","Origem__c","PorQuantoTempoQuerGarantirRenda__c","Payload__c","Percentual__c","PossuiAfastados__c","PossuiTrackageBagagem__c","PremioComercial__c","PremioInformado__c","PremioPuroInterno__c","PremioPuroResseguro__c","PremioPuro__c","PremioTotal__c","PrestadoresServicosEstagiarios__c","Produto__c","ProtecaoParaQuem__c","QuantidadeDias__c","QuantidadeFuncionarios__c","QuantidadeMotoboys__c","QuantidadeMotoristas__c","QuantidadeParcelas__c","QuantidadePassageiros070Anos__c","QuantidadePassageirosIdosos__c","QuantidadePassageirosNaoIdosos__c","QuantidadePassageiros__c","QuantidadeSocios__c","QuantidadeVidas__c","Sinistralidade__c","TaxaAnual__c","TaxaComercial__c","TaxaMensal__c","TaxaPuraInterna__c","TaxaPuraResseguro__c","TaxaPura__c","TaxaTotal__c","TaxaVigencia__c","TempoPermanencia__c","TipoAdesao__c","TipoCalculo__c","TipoEvento__c","TipoProtecao__c","TipoSegurado__c","TipoViagem__c","TipoVigencia__c","Total__c","TransferenciaCongenere__c","UtilizaMoto__c","ViagemAventura__c","VidasEntre7074Anos__c","VidasEntre7190Anos__c","VigenciaFinal__c","VigenciaInicial__c","VigenciaMenor365Dias__c","DescontoAgravoMonetarioComercial__c","DescontoAgravoMonetarioInformado__c","DescontoAgravoMonetarioTecnico__c","DescontoAgravoPercentualComercial__c","DescontoAgravoPercentualInformado__c","DescontoAgravoPercentualTecnico__c","TipoDescontoAgravo__c","TipoEndosso__c","EntradaNegocio__c","ContadorOrcamento__c","Consultivo__c","DataVencimento__c","DescontoAgravoMonetarioFormaPagto__c","DescontoAgravoMonetarioParcelamento__c","DescontoAgravoPercentualFormaPagto__c","DescontoAgravoPercentualParcelamento__c","CotacaoMoeda__c","MoedaOrcamento__c","NumeroOferta__c","PaisesDestino__c","Customizavel__c","RamoOrcamento__c","Segmento__c","VigenciaFinalAlterada__c","DLL__c","Tarifa__c","NomeOrcamento__c","QuantidadeGarantias__c"
"0060t00000FjJB0AAN","false","0010t00001HWJM9AAP","012f4000000QY39AAG","false","ARQ-11240596","","Devolvida","36.87","0","0","","2019-07-19","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-19T19:17:59.000+0000","005f4000000jPAEAA2","2019-07-19T19:18:01.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:20.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-19","","","","","","0","false","","","","","","false","false","","0.14","0","","","ARQ","","","11240596","","","18","","","","","false","36.73","36.75","","","5.28","36.75","","01tf4000003NYeRAAW","","","","","","","","","","","","","","","0.067559019","","","","0.009716","0.0673391360796001","","","","","","","","","","","false","false","false","0","","2020-02-28","2019-07-29","false","","-0.12","","","-0.32546789999999826","","","","RENNER - SEDE DAS LOJAS RENNER","00017840","false","","","","","","","","","","false","","Massificados","false","","","","5"
"0060t00000FjPGYAA3","false","0010t00001HWYTGAA5","012f4000000QY39AAG","false","ARQ-11249101","","Devolvida","33.19","0","0","","2019-07-19","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-19T20:33:44.000+0000","005f4000000jPAEAA2","2019-07-19T20:33:45.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:20.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-19","","","","","","0","false","","","","","","false","false","","0.13","0","","","ARQ","","","11249101","","","18","","","","","false","33.06","33.11","","","4.75","33.11","","01tf4000003NYeRAAW","","","","","","","","","","","","","","","0.067565215","","","","0.009716","0.06740235817054652","","","","","","","","","","","false","false","false","0","","2020-02-28","2019-07-29","false","","-0.08","","","-0.24103650000000254","","","","RENNER - SEDE DAS LOJAS RENNER","00023909","false","","","","","","","","","","false","","Massificados","false","","","","5"
"0060t00000Fjep9AAB","false","0010t00001HWJdXAAX","012f4000000QY39AAG","false","ARQ-11346042","","Devolvida","32.93","0","0","","2019-07-22","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-22T15:00:22.000+0000","005f4000000jPAEAA2","2019-07-22T15:00:25.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:20.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-22","","","","","","0","false","","","","","","false","false","","0.13","0","","","ARQ","","","11346042","","","18","","","","","false","32.8","32.830000000000005","","","4.72","32.83","","01tf4000003NYeRAAW","","","","","","","","","","","","","","","0.067578632","","","","0.009716","0.06737341292716717","","","","","","","","","","","false","false","false","0","","2020-02-28","2019-07-29","false","","-0.1","","","-0.3036744999999952","","","","RENNER - SEDE DAS LOJAS RENNER","00033542","false","","","","","","","","","","false","","Massificados","false","","","","5"
"0060t00000FjepOAAR","false","0010t00001HWJfrAAH","012f4000000QY39AAG","false","ARQ-11346093","","Devolvida","51.24","0","0","","2019-07-22","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-22T15:00:22.000+0000","005f4000000jPAEAA2","2019-07-22T15:00:26.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:20.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-22","","","","","","0","false","","","","","","false","false","","0.19","0","","","ARQ","","","11346093","","","18","","","","","false","51.05","51.12","","","7.34","51.12","","01tf4000003NYeRAAW","","","","","","","","","","","","","","","0.077215628","","","","0.011104","0.07703479509925862","","","","","","","","","","","false","false","false","0","","2020-03-30","2019-07-29","false","","-0.12","","","-0.2341920999999969","","","","RENNER - SEDE DAS LOJAS RENNER","00033550","false","","","","","","","","","","false","","Massificados","false","","","","5"
"0060t00000FjDGSAA3","false","0010t00001HEFWLAA5","012f4000000QY39AAG","false","647658","","Em criação","","10","","","2020-06-18","Novo","","","false","false","Pipeline","Pipeline","BRL","","false","","005f4000000jPAEAA2","2019-07-18T20:12:19.000+0000","005f4000000jPAEAA2","2019-07-18T20:12:19.000+0000","005f4000000jPAEAA2","2021-02-10T17:31:24.000+0000","","2","2020","2020 2","","","","","","","","false","false","","","a0A0t0000062q7eEAA","","","","","","","","2019-05-30","","","","","","","0","false","","","","","","false","false","","1.24","0","","","PMC","","988444","","","","","","","","","false","4.38","","","","3.98","5","","01t0t000001YtKwAAK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Periódico","","false","false","false","0","","2020-06-18","2019-06-19","false","","","-13.56","","","-5.9","","","Corretor 2.0","00015800","false","","","","","","","","","","false","","Individual","false","","","","5"
"0060t00000HNMNKAA5","false","0010t00001HVd1NAAT","012f4000000QY39AAG","false","ARQ-06640453","","Devolvida","19.98","0","0","","2019-07-24","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-24T16:55:11.000+0000","005f4000000jPAEAA2","2019-07-24T16:55:13.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:20.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-20","2019-07-24","","","","","","0","false","","","","","","false","false","","0.08","0","","","ARQ","","","06640453","","","18","","","","","false","19.9","16.65","","","2.45","16.65","","01tf4000003NWsVAAW","","","","","","","","","","","","","","","0.013907695","","","","0.002622","0.011589745828697436","","","","","","","","","","","false","false","false","0","","2019-10-23","2019-07-26","false","","-3.33","","","-16.6666667","","","","RENNER - SEDE DAS LOJAS RENNER","00072362","false","","","","","","","","","","false","","Individual","false","","","","7"
"0060t00000FhFZCAA3","false","0010t00001HWHmdAAH","012f4000000QY39AAG","false","ARQ-01141889","","Devolvida","12.34","0","0","","2019-07-03","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-03T19:52:49.000+0000","005f4000000jPAEAA2","2019-07-03T19:52:51.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:20.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-03","","","","","","0","false","","","","","","false","false","","0.05","0","","","ARQ","","","01141889","","","18","","","","","false","12.29","5.22","","","1.44","5.22","","01tf4000003NWsVAAW","","","","","","","","","","","","","","","0.009280925","","","","0.001748","0.003925966646572051","","","","","","","","","","","false","false","false","0","","2019-09-28","2019-07-29","false","","-7.12","","","-57.69854139999999","","","","RENNER - SEDE DAS LOJAS RENNER","00002343","false","","","","","","","","","","false","","Individual","false","","","","7"
"0060t00000FhGvYAAV","false","0010t00001HWJ3bAAH","012f4000000QY39AAG","false","ARQ-01144432","","Devolvida","18.62","0","0","","2019-07-03","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-03T20:06:30.000+0000","005f4000000jPAEAA2","2019-07-03T20:06:33.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:21.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-03","","","","","","0","false","","","","","","false","false","","0.07","0","","","ARQ","","","01144432","","","18","","","","","false","18.55","8.100000000000001","","","2.18","8.1","","01tf4000003NWsVAAW","","","","","","","","","","","","","","","0.013884443","","","","0.002622","0.006039956397261172","","","","","","","","","","","false","false","false","0","","2019-10-29","2019-07-29","false","","-10.52","","","-56.49838890000001","","","","RENNER - SEDE DAS LOJAS RENNER","00004050","false","","","","","","","","","","false","","Individual","false","","","","7"
"0060t00000FjNqqAAF","false","0010t00001HWYDuAAP","012f4000000QY39AAG","false","ARQ-11247193","","Devolvida","3.78","0","0","","2019-07-19","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-19T20:16:32.000+0000","005f4000000jPAEAA2","2019-07-19T20:16:33.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:19.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-19","","","","","","0","false","","","","","","false","false","","0","0","","","ARQ","","","11247193","","","18","","","","","false","3.78","3.66","","","0.54","3.66","","01tf4000003NYeRAAW","","","","","","","","","","","","","","","0.019249903","","","","0.002776","0.018638794963365103","","","","","","","","","","","false","false","false","0","","2019-09-28","2019-07-29","false","","-0.12","","","-3.1746032000000035","","","","RENNER - SEDE DAS LOJAS RENNER","00022538","false","","","","","","","","","","false","","Massificados","false","","","","5"
"0060t00000FjmmXAAR","false","0010t00001HWHNeAAP","012f4000000QY39AAG","false","ARQ-11441210","","Devolvida","32.93","0","0","","2019-07-22","Novo","","","false","false","Omitted","Omitted","BRL","","false","","005f4000000jPAEAA2","2019-07-22T22:04:39.000+0000","005f4000000jPAEAA2","2019-07-22T22:04:41.000+0000","005f4000000jPAEAA2","2021-02-10T17:30:22.000+0000","","3","2019","2019 3","","","","","","","","false","false","","","a0A0t0000063pHFEAY","","","","","","","","2019-06-29","2019-07-22","","","","","","0","false","","","","","","false","false","","0.13","0","","","ARQ","","","11441210","","","18","","","","","false","32.8","32.830000000000005","","","4.72","32.83","","01tf4000003NYeRAAW","","","","","","","","","","","","","","","0.067578632","","","","0.009716","0.06737341292716717","","","","","","","","","","","false","false","false","0","","2020-02-28","2019-07-29","false","","-0.1","","","-0.3036744999999952","","","","RENNER - SEDE DAS LOJAS RENNER","00041530","false","","","","","","","","","","false","","Massificados","false","","","","5"
